doc_id,keyword,difficulty,question_template,suggested_answer_length
cc_news_6_What It's Like Inside NYCB Aft,rehearsals,advanced,rehearsalsの応用例を挙げてください。,3-5文
cc_news_6_What It's Like Inside NYCB Aft,rehearsals,advanced,rehearsalsの課題と解決策は何ですか？,3-5文
cc_news_6_What It's Like Inside NYCB Aft,director,advanced,directorの応用例を挙げてください。,3-5文
cc_news_6_What It's Like Inside NYCB Aft,director,advanced,directorの課題と解決策は何ですか？,3-5文
cc_news_7_Nutcracker Secrets and Surpris,Balanchine,advanced,Balanchineの応用例を挙げてください。,3-5文
cc_news_7_Nutcracker Secrets and Surpris,Balanchine,advanced,Balanchineの課題と解決策は何ですか？,3-5文
cc_news_7_Nutcracker Secrets and Surpris,Nutcracker,advanced,Nutcrackerの応用例を挙げてください。,3-5文
cc_news_7_Nutcracker Secrets and Surpris,Nutcracker,advanced,Nutcrackerの課題と解決策は何ですか？,3-5文
cc_news_7_Nutcracker Secrets and Surpris,original,advanced,originalの応用例を挙げてください。,3-5文
cc_news_7_Nutcracker Secrets and Surpris,original,advanced,originalの課題と解決策は何ですか？,3-5文
cc_news_7_Nutcracker Secrets and Surpris,Courtesy,advanced,Courtesyの応用例を挙げてください。,3-5文
cc_news_7_Nutcracker Secrets and Surpris,Courtesy,advanced,Courtesyの課題と解決策は何ですか？,3-5文
cc_news_7_Nutcracker Secrets and Surpris,Ballet,basic,Balletとは何ですか？,1-2文
cc_news_7_Nutcracker Secrets and Surpris,Ballet,basic,Balletについて説明してください。,1-2文
cc_news_8_Inside the Beijing Dance Acade,professional,advanced,professionalの応用例を挙げてください。,3-5文
cc_news_8_Inside the Beijing Dance Acade,professional,advanced,professionalの課題と解決策は何ですか？,3-5文
cc_news_8_Inside the Beijing Dance Acade,students,advanced,studentsの応用例を挙げてください。,3-5文
cc_news_8_Inside the Beijing Dance Acade,students,advanced,studentsの課題と解決策は何ですか？,3-5文
cc_news_8_Inside the Beijing Dance Acade,dancers,basic,dancersとは何ですか？,1-2文
cc_news_8_Inside the Beijing Dance Acade,dancers,basic,dancersについて説明してください。,1-2文
cc_news_8_Inside the Beijing Dance Acade,Chinese,basic,Chineseとは何ですか？,1-2文
cc_news_8_Inside the Beijing Dance Acade,Chinese,basic,Chineseについて説明してください。,1-2文
cc_news_8_Inside the Beijing Dance Acade,Ballet,basic,Balletとは何ですか？,1-2文
cc_news_8_Inside the Beijing Dance Acade,Ballet,basic,Balletについて説明してください。,1-2文
cc_news_9_Isabella Boylston and James Wh,Whiteside,advanced,Whitesideの応用例を挙げてください。,3-5文
cc_news_9_Isabella Boylston and James Wh,Whiteside,advanced,Whitesideの課題と解決策は何ですか？,3-5文
cc_news_9_Isabella Boylston and James Wh,Boylston,advanced,Boylstonの応用例を挙げてください。,3-5文
cc_news_9_Isabella Boylston and James Wh,Boylston,advanced,Boylstonの課題と解決策は何ですか？,3-5文
cc_news_9_Isabella Boylston and James Wh,Isabella,advanced,Isabellaの応用例を挙げてください。,3-5文
cc_news_9_Isabella Boylston and James Wh,Isabella,advanced,Isabellaの課題と解決策は何ですか？,3-5文
cc_news_10_Ballet Performances This Week,premiere,advanced,premiereの応用例を挙げてください。,3-5文
cc_news_10_Ballet Performances This Week,premiere,advanced,premiereの課題と解決策は何ですか？,3-5文
cc_news_10_Ballet Performances This Week,Ballet,basic,Balletとは何ですか？,1-2文
cc_news_10_Ballet Performances This Week,Ballet,basic,Balletについて説明してください。,1-2文
cc_news_10_Ballet Performances This Week,ballet,basic,balletとは何ですか？,1-2文
cc_news_10_Ballet Performances This Week,ballet,basic,balletについて説明してください。,1-2文
cc_news_10_Ballet Performances This Week,March,basic,Marchとは何ですか？,1-2文
cc_news_10_Ballet Performances This Week,March,basic,Marchについて説明してください。,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",McLaren,basic,McLarenとは何ですか？,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",McLaren,basic,McLarenについて説明してください。,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",Frame,basic,Frameとは何ですか？,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",Frame,basic,Frameについて説明してください。,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",that,basic,thatとは何ですか？,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",that,basic,thatについて説明してください。,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",with,basic,withとは何ですか？,1-2文
"cc_news_11_Guillaume Côté on NBoC's ""Fram",with,basic,withについて説明してください。,1-2文
"cc_news_12_Broadway's ""Carousel"" Stars So",Carousel,advanced,Carouselの応用例を挙げてください。,3-5文
"cc_news_12_Broadway's ""Carousel"" Stars So",Carousel,advanced,Carouselの課題と解決策は何ですか？,3-5文
"cc_news_12_Broadway's ""Carousel"" Stars So",Broadway,advanced,Broadwayの応用例を挙げてください。,3-5文
"cc_news_12_Broadway's ""Carousel"" Stars So",Broadway,advanced,Broadwayの課題と解決策は何ですか？,3-5文
"cc_news_12_Broadway's ""Carousel"" Stars So",Ballet,basic,Balletとは何ですか？,1-2文
"cc_news_12_Broadway's ""Carousel"" Stars So",Ballet,basic,Balletについて説明してください。,1-2文
"cc_news_13_The Joffrey Presents Ekman's """,Midsummer,advanced,Midsummerの応用例を挙げてください。,3-5文
"cc_news_13_The Joffrey Presents Ekman's """,Midsummer,advanced,Midsummerの課題と解決策は何ですか？,3-5文
"cc_news_13_The Joffrey Presents Ekman's """,Wheater,basic,Wheaterとは何ですか？,1-2文
"cc_news_13_The Joffrey Presents Ekman's """,Wheater,basic,Wheaterについて説明してください。,1-2文
"cc_news_13_The Joffrey Presents Ekman's """,Joffrey,basic,Joffreyとは何ですか？,1-2文
"cc_news_13_The Joffrey Presents Ekman's """,Joffrey,basic,Joffreyについて説明してください。,1-2文
cc_news_14_Wonderfully Simple Graphic Des,DesignWizard,advanced,DesignWizardの応用例を挙げてください。,3-5文
cc_news_14_Wonderfully Simple Graphic Des,DesignWizard,advanced,DesignWizardの課題と解決策は何ですか？,3-5文
cc_news_14_Wonderfully Simple Graphic Des,Wonderfully,advanced,Wonderfullyの応用例を挙げてください。,3-5文
cc_news_14_Wonderfully Simple Graphic Des,Wonderfully,advanced,Wonderfullyの課題と解決策は何ですか？,3-5文
cc_news_14_Wonderfully Simple Graphic Des,rebelCon,advanced,rebelConの応用例を挙げてください。,3-5文
cc_news_14_Wonderfully Simple Graphic Des,rebelCon,advanced,rebelConの課題と解決策は何ですか？,3-5文
cc_news_15_Bay Community News,information,advanced,informationの応用例を挙げてください。,3-5文
cc_news_15_Bay Community News,information,advanced,informationの課題と解決策は何ですか？,3-5文
cc_news_15_Bay Community News,transients,advanced,transientsの応用例を挙げてください。,3-5文
cc_news_15_Bay Community News,transients,advanced,transientsの課題と解決策は何ですか？,3-5文
cc_news_15_Bay Community News,fraudulent,advanced,fraudulentの応用例を挙げてください。,3-5文
cc_news_15_Bay Community News,fraudulent,advanced,fraudulentの課題と解決策は何ですか？,3-5文
cc_news_15_Bay Community News,Johnathan,advanced,Johnathanの応用例を挙げてください。,3-5文
cc_news_15_Bay Community News,Johnathan,advanced,Johnathanの課題と解決策は何ですか？,3-5文
cc_news_16_25 Year Old Molests Child Unde,Cameron,intermediate,Cameronはどのように使われますか？,2-3文
cc_news_16_25 Year Old Molests Child Unde,Cameron,intermediate,Cameronの利点は何ですか？,2-3文
cc_news_16_25 Year Old Molests Child Unde,Shanard,intermediate,Shanardはどのように使われますか？,2-3文
cc_news_16_25 Year Old Molests Child Unde,Shanard,intermediate,Shanardの利点は何ですか？,2-3文
cc_news_16_25 Year Old Molests Child Unde,victim,intermediate,victimはどのように使われますか？,2-3文
cc_news_16_25 Year Old Molests Child Unde,victim,intermediate,victimの利点は何ですか？,2-3文
cc_news_17_How to install the Trac projec,installation,advanced,installationの応用例を挙げてください。,3-5文
cc_news_17_How to install the Trac projec,installation,advanced,installationの課題と解決策は何ですか？,3-5文
cc_news_17_How to install the Trac projec,management,advanced,managementの応用例を挙げてください。,3-5文
cc_news_17_How to install the Trac projec,management,advanced,managementの課題と解決策は何ですか？,3-5文
cc_news_17_How to install the Trac projec,available,advanced,availableの応用例を挙げてください。,3-5文
cc_news_17_How to install the Trac projec,available,advanced,availableの課題と解決策は何ですか？,3-5文
cc_news_17_How to install the Trac projec,following,advanced,followingの応用例を挙げてください。,3-5文
cc_news_17_How to install the Trac projec,following,advanced,followingの課題と解決策は何ですか？,3-5文
cc_news_17_How to install the Trac projec,directory,advanced,directoryの応用例を挙げてください。,3-5文
cc_news_17_How to install the Trac projec,directory,advanced,directoryの課題と解決策は何ですか？,3-5文
cc_news_18_New Amazon class certifies clo,Certified,advanced,Certifiedの応用例を挙げてください。,3-5文
cc_news_18_New Amazon class certifies clo,Certified,advanced,Certifiedの課題と解決策は何ですか？,3-5文
cc_news_18_New Amazon class certifies clo,Specialty,advanced,Specialtyの応用例を挙げてください。,3-5文
cc_news_18_New Amazon class certifies clo,Specialty,advanced,Specialtyの課題と解決策は何ですか？,3-5文
cc_news_18_New Amazon class certifies clo,Security,advanced,Securityの応用例を挙げてください。,3-5文
cc_news_18_New Amazon class certifies clo,Security,advanced,Securityの課題と解決策は何ですか？,3-5文
cc_news_18_New Amazon class certifies clo,security,advanced,securityの応用例を挙げてください。,3-5文
cc_news_18_New Amazon class certifies clo,security,advanced,securityの課題と解決策は何ですか？,3-5文
cc_news_18_New Amazon class certifies clo,validate,advanced,validateの応用例を挙げてください。,3-5文
cc_news_18_New Amazon class certifies clo,validate,advanced,validateの課題と解決策は何ですか？,3-5文
cc_news_19_How to set up a Gitstorage app,TechRepublic,advanced,TechRepublicの応用例を挙げてください。,3-5文
cc_news_19_How to set up a Gitstorage app,TechRepublic,advanced,TechRepublicの課題と解決策は何ですか？,3-5文
cc_news_19_How to set up a Gitstorage app,optional,advanced,optionalの応用例を挙げてください。,3-5文
cc_news_19_How to set up a Gitstorage app,optional,advanced,optionalの課題と解決策は何ですか？,3-5文
cc_news_19_How to set up a Gitstorage app,password,advanced,passwordの応用例を挙げてください。,3-5文
cc_news_19_How to set up a Gitstorage app,password,advanced,passwordの課題と解決策は何ですか？,3-5文
cc_news_19_How to set up a Gitstorage app,twork,advanced,tworkの応用例を挙げてください。,3-5文
cc_news_19_How to set up a Gitstorage app,twork,advanced,tworkの課題と解決策は何ですか？,3-5文
cc_news_19_How to set up a Gitstorage app,MSRP,advanced,MSRPの技術的な詳細を説明してください。,3-5文
cc_news_19_How to set up a Gitstorage app,MSRP,advanced,MSRPと他の手法との違いは何ですか？,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,capabilities,advanced,capabilitiesの応用例を挙げてください。,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,capabilities,advanced,capabilitiesの課題と解決策は何ですか？,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,Snapdragon,advanced,Snapdragonの応用例を挙げてください。,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,Snapdragon,advanced,Snapdragonの課題と解決策は何ですか？,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,Qualcomm,advanced,Qualcommの応用例を挙げてください。,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,Qualcomm,advanced,Qualcommの課題と解決策は何ですか？,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,platform,advanced,platformの応用例を挙げてください。,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,platform,advanced,platformの課題と解決策は何ですか？,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,features,advanced,featuresの応用例を挙げてください。,3-5文
cc_news_20_Qualcomm XR1 chip could bring ,features,advanced,featuresの課題と解決策は何ですか？,3-5文
cc_news_21_Why are companies moving to th,respondents,advanced,respondentsの応用例を挙げてください。,3-5文
cc_news_21_Why are companies moving to th,respondents,advanced,respondentsの課題と解決策は何ですか？,3-5文
cc_news_21_Why are companies moving to th,companies,advanced,companiesの応用例を挙げてください。,3-5文
cc_news_21_Why are companies moving to th,companies,advanced,companiesの課題と解決策は何ですか？,3-5文
cc_news_21_Why are companies moving to th,Commvault,advanced,Commvaultの応用例を挙げてください。,3-5文
cc_news_21_Why are companies moving to th,Commvault,advanced,Commvaultの課題と解決策は何ですか？,3-5文
cc_news_21_Why are companies moving to th,processes,advanced,processesの応用例を挙げてください。,3-5文
cc_news_21_Why are companies moving to th,processes,advanced,processesの課題と解決策は何ですか？,3-5文
cc_news_22_How to request your personal d,Protection,advanced,Protectionの応用例を挙げてください。,3-5文
cc_news_22_How to request your personal d,Protection,advanced,Protectionの課題と解決策は何ですか？,3-5文
cc_news_22_How to request your personal d,companies,advanced,companiesの応用例を挙げてください。,3-5文
cc_news_22_How to request your personal d,companies,advanced,companiesの課題と解決策は何ですか？,3-5文
cc_news_22_How to request your personal d,personal,advanced,personalの応用例を挙げてください。,3-5文
cc_news_22_How to request your personal d,personal,advanced,personalの課題と解決策は何ですか？,3-5文
cc_news_22_How to request your personal d,requests,advanced,requestsの応用例を挙げてください。,3-5文
cc_news_22_How to request your personal d,requests,advanced,requestsの課題と解決策は何ですか？,3-5文
cc_news_23_5 data protection policies you,employees,advanced,employeesの応用例を挙げてください。,3-5文
cc_news_23_5 data protection policies you,employees,advanced,employeesの課題と解決策は何ですか？,3-5文
cc_news_23_5 data protection policies you,companies,advanced,companiesの応用例を挙げてください。,3-5文
cc_news_23_5 data protection policies you,companies,advanced,companiesの課題と解決策は何ですか？,3-5文
cc_news_23_5 data protection policies you,policies,advanced,policiesの応用例を挙げてください。,3-5文
cc_news_23_5 data protection policies you,policies,advanced,policiesの課題と解決策は何ですか？,3-5文
cc_news_23_5 data protection policies you,business,advanced,businessの応用例を挙げてください。,3-5文
cc_news_23_5 data protection policies you,business,advanced,businessの課題と解決策は何ですか？,3-5文
cc_news_24_Why a cloud-friendly Java coul,developers,advanced,developersの応用例を挙げてください。,3-5文
cc_news_24_Why a cloud-friendly Java coul,developers,advanced,developersの課題と解決策は何ですか？,3-5文
cc_news_24_Why a cloud-friendly Java coul,Eclipse,basic,Eclipseとは何ですか？,1-2文
cc_news_24_Why a cloud-friendly Java coul,Eclipse,basic,Eclipseについて説明してください。,1-2文
cc_news_24_Why a cloud-friendly Java coul,Jakarta,basic,Jakartaとは何ですか？,1-2文
cc_news_24_Why a cloud-friendly Java coul,Jakarta,basic,Jakartaについて説明してください。,1-2文
cc_news_24_Why a cloud-friendly Java coul,cloud,basic,cloudとは何ですか？,1-2文
cc_news_24_Why a cloud-friendly Java coul,cloud,basic,cloudについて説明してください。,1-2文
cc_news_25_Report: 32% of IT pros plan to,professionals,advanced,professionalsの応用例を挙げてください。,3-5文
cc_news_25_Report: 32% of IT pros plan to,professionals,advanced,professionalsの課題と解決策は何ですか？,3-5文
cc_news_25_Report: 32% of IT pros plan to,cybersecurity,advanced,cybersecurityの応用例を挙げてください。,3-5文
cc_news_25_Report: 32% of IT pros plan to,cybersecurity,advanced,cybersecurityの課題と解決策は何ですか？,3-5文
cc_news_25_Report: 32% of IT pros plan to,Spiceworks,advanced,Spiceworksの応用例を挙げてください。,3-5文
cc_news_25_Report: 32% of IT pros plan to,Spiceworks,advanced,Spiceworksの課題と解決策は何ですか？,3-5文
cc_news_25_Report: 32% of IT pros plan to,employees,advanced,employeesの応用例を挙げてください。,3-5文
cc_news_25_Report: 32% of IT pros plan to,employees,advanced,employeesの課題と解決策は何ですか？,3-5文
cc_news_26_How to protect your company fr,information,advanced,informationの応用例を挙げてください。,3-5文
cc_news_26_How to protect your company fr,information,advanced,informationの課題と解決策は何ですか？,3-5文
cc_news_26_How to protect your company fr,employees,advanced,employeesの応用例を挙げてください。,3-5文
cc_news_26_How to protect your company fr,employees,advanced,employeesの課題と解決策は何ですか？,3-5文
cc_news_26_How to protect your company fr,phishing,advanced,phishingの応用例を挙げてください。,3-5文
cc_news_26_How to protect your company fr,phishing,advanced,phishingの課題と解決策は何ですか？,3-5文
cc_news_26_How to protect your company fr,that,basic,thatとは何ですか？,1-2文
cc_news_26_How to protect your company fr,that,basic,thatについて説明してください。,1-2文
cc_news_26_How to protect your company fr,from,basic,fromとは何ですか？,1-2文
cc_news_26_How to protect your company fr,from,basic,fromについて説明してください。,1-2文
cc_news_27_HTC VIVE announces price for t,subscription,advanced,subscriptionの応用例を挙げてください。,3-5文
cc_news_27_HTC VIVE announces price for t,subscription,advanced,subscriptionの課題と解決策は何ですか？,3-5文
cc_news_27_HTC VIVE announces price for t,headset,basic,headsetとは何ですか？,1-2文
cc_news_27_HTC VIVE announces price for t,headset,basic,headsetについて説明してください。,1-2文
cc_news_27_HTC VIVE announces price for t,month,intermediate,monthはどのように使われますか？,2-3文
cc_news_27_HTC VIVE announces price for t,month,intermediate,monthの利点は何ですか？,2-3文
cc_news_27_HTC VIVE announces price for t,VIVE,advanced,VIVEの技術的な詳細を説明してください。,3-5文
cc_news_27_HTC VIVE announces price for t,VIVE,advanced,VIVEと他の手法との違いは何ですか？,3-5文
cc_news_27_HTC VIVE announces price for t,that,intermediate,thatはどのように使われますか？,2-3文
cc_news_27_HTC VIVE announces price for t,that,intermediate,thatの利点は何ですか？,2-3文
cc_news_28_Are smart locks secure? AV-TES,engineers,advanced,engineersの応用例を挙げてください。,3-5文
cc_news_28_Are smart locks secure? AV-TES,engineers,advanced,engineersの課題と解決策は何ですか？,3-5文
cc_news_28_Are smart locks secure? AV-TES,Bluetooth,advanced,Bluetoothの応用例を挙げてください。,3-5文
cc_news_28_Are smart locks secure? AV-TES,Bluetooth,advanced,Bluetoothの課題と解決策は何ですか？,3-5文
cc_news_28_Are smart locks secure? AV-TES,following,advanced,followingの応用例を挙げてください。,3-5文
cc_news_28_Are smart locks secure? AV-TES,following,advanced,followingの課題と解決策は何ですか？,3-5文
cc_news_28_Are smart locks secure? AV-TES,security,advanced,securityの応用例を挙げてください。,3-5文
cc_news_28_Are smart locks secure? AV-TES,security,advanced,securityの課題と解決策は何ですか？,3-5文
cc_news_28_Are smart locks secure? AV-TES,Danalock,advanced,Danalockの応用例を挙げてください。,3-5文
cc_news_28_Are smart locks secure? AV-TES,Danalock,advanced,Danalockの課題と解決策は何ですか？,3-5文
cc_news_29_Top 5: Things AI might actuall,TechRepublic,advanced,TechRepublicの応用例を挙げてください。,3-5文
cc_news_29_Top 5: Things AI might actuall,TechRepublic,advanced,TechRepublicの課題と解決策は何ですか？,3-5文
cc_news_29_Top 5: Things AI might actuall,learning,advanced,learningの応用例を挙げてください。,3-5文
cc_news_29_Top 5: Things AI might actuall,learning,advanced,learningの課題と解決策は何ですか？,3-5文
cc_news_29_Top 5: Things AI might actuall,some,intermediate,someはどのように使われますか？,2-3文
cc_news_29_Top 5: Things AI might actuall,some,intermediate,someの利点は何ですか？,2-3文
cc_news_29_Top 5: Things AI might actuall,used,intermediate,usedはどのように使われますか？,2-3文
cc_news_29_Top 5: Things AI might actuall,used,intermediate,usedの利点は何ですか？,2-3文
cc_news_30_How 5G will power innovations ,intelligence,advanced,intelligenceの応用例を挙げてください。,3-5文
cc_news_30_How 5G will power innovations ,intelligence,advanced,intelligenceの課題と解決策は何ですか？,3-5文
cc_news_30_How 5G will power innovations ,technologies,advanced,technologiesの応用例を挙げてください。,3-5文
cc_news_30_How 5G will power innovations ,technologies,advanced,technologiesの課題と解決策は何ですか？,3-5文
cc_news_30_How 5G will power innovations ,innovations,advanced,innovationsの応用例を挙げてください。,3-5文
cc_news_30_How 5G will power innovations ,innovations,advanced,innovationsの課題と解決策は何ですか？,3-5文
cc_news_30_How 5G will power innovations ,artificial,advanced,artificialの応用例を挙げてください。,3-5文
cc_news_30_How 5G will power innovations ,artificial,advanced,artificialの課題と解決策は何ですか？,3-5文
cc_news_30_How 5G will power innovations ,technology,advanced,technologyの応用例を挙げてください。,3-5文
cc_news_30_How 5G will power innovations ,technology,advanced,technologyの課題と解決策は何ですか？,3-5文
cc_news_31_Five programming languages wit,programming,advanced,programmingの応用例を挙げてください。,3-5文
cc_news_31_Five programming languages wit,programming,advanced,programmingの課題と解決策は何ですか？,3-5文
cc_news_31_Five programming languages wit,languages,advanced,languagesの応用例を挙げてください。,3-5文
cc_news_31_Five programming languages wit,languages,advanced,languagesの課題と解決策は何ですか？,3-5文
cc_news_31_Five programming languages wit,function,advanced,functionの応用例を挙げてください。,3-5文
cc_news_31_Five programming languages wit,function,advanced,functionの課題と解決策は何ですか？,3-5文
cc_news_31_Five programming languages wit,IOActive,advanced,IOActiveの応用例を挙げてください。,3-5文
cc_news_31_Five programming languages wit,IOActive,advanced,IOActiveの課題と解決策は何ですか？,3-5文
cc_news_32_How the blockchain could help ,blockchain,advanced,blockchainの応用例を挙げてください。,3-5文
cc_news_32_How the blockchain could help ,blockchain,advanced,blockchainの課題と解決策は何ですか？,3-5文
cc_news_32_How the blockchain could help ,Patterson,advanced,Pattersonの応用例を挙げてください。,3-5文
cc_news_32_How the blockchain could help ,Patterson,advanced,Pattersonの課題と解決策は何ですか？,3-5文
cc_news_32_How the blockchain could help ,really,basic,reallyとは何ですか？,1-2文
cc_news_32_How the blockchain could help ,really,basic,reallyについて説明してください。,1-2文
cc_news_32_How the blockchain could help ,Dicker,basic,Dickerとは何ですか？,1-2文
cc_news_32_How the blockchain could help ,Dicker,basic,Dickerについて説明してください。,1-2文
cc_news_32_How the blockchain could help ,there,basic,thereとは何ですか？,1-2文
cc_news_32_How the blockchain could help ,there,basic,thereについて説明してください。,1-2文
cc_news_33_Windows 10 wishlist: Five grip,Microsoft,advanced,Microsoftの応用例を挙げてください。,3-5文
cc_news_33_Windows 10 wishlist: Five grip,Microsoft,advanced,Microsoftの課題と解決策は何ですか？,3-5文
cc_news_33_Windows 10 wishlist: Five grip,feature,basic,featureとは何ですか？,1-2文
cc_news_33_Windows 10 wishlist: Five grip,feature,basic,featureについて説明してください。,1-2文
cc_news_33_Windows 10 wishlist: Five grip,Windows,basic,Windowsとは何ですか？,1-2文
cc_news_33_Windows 10 wishlist: Five grip,Windows,basic,Windowsについて説明してください。,1-2文
cc_news_33_Windows 10 wishlist: Five grip,However,intermediate,Howeverはどのように使われますか？,2-3文
cc_news_33_Windows 10 wishlist: Five grip,However,intermediate,Howeverの利点は何ですか？,2-3文
cc_news_34_The top 5 iPhone X gestures ev,Reachability,advanced,Reachabilityの応用例を挙げてください。,3-5文
cc_news_34_The top 5 iPhone X gestures ev,Reachability,advanced,Reachabilityの課題と解決策は何ですか？,3-5文
cc_news_34_The top 5 iPhone X gestures ev,Indicator,advanced,Indicatorの応用例を挙げてください。,3-5文
cc_news_34_The top 5 iPhone X gestures ev,Indicator,advanced,Indicatorの課題と解決策は何ですか？,3-5文
cc_news_34_The top 5 iPhone X gestures ev,gestures,advanced,gesturesの応用例を挙げてください。,3-5文
cc_news_34_The top 5 iPhone X gestures ev,gestures,advanced,gesturesの課題と解決策は何ですか？,3-5文
cc_news_34_The top 5 iPhone X gestures ev,Switcher,advanced,Switcherの応用例を挙げてください。,3-5文
cc_news_34_The top 5 iPhone X gestures ev,Switcher,advanced,Switcherの課題と解決策は何ですか？,3-5文
cc_news_35_HPE and NASA experiment with ',Spaceborne,advanced,Spaceborneの応用例を挙げてください。,3-5文
cc_news_35_HPE and NASA experiment with ',Spaceborne,advanced,Spaceborneの課題と解決策は何ですか？,3-5文
cc_news_35_HPE and NASA experiment with ',computing,advanced,computingの応用例を挙げてください。,3-5文
cc_news_35_HPE and NASA experiment with ',computing,advanced,computingの課題と解決策は何ですか？,3-5文
