doc_id,keyword,difficulty,category,frequency,context
cc_news_21_Why are companies moving to th,CITO,advanced,technical_term,2,"""The survey unequivocally confirms that Cloud FOMO is real and on the mind of C-level and other IT l"
cc_news_22_How to request your personal d,ICO,advanced,technical_term,5,""" SEE: EU General Data Protection Regulation (GDPR) policy (Tech Pro Research) For clear guidelines "
cc_news_22_How to request your personal d,EU,advanced,technical_term,2,""" SEE: EU General Data Protection Regulation (GDPR) policy (Tech Pro Research) For clear guidelines "
cc_news_22_How to request your personal d,Protection,advanced,other,3,""" SEE: EU General Data Protection Regulation (GDPR) policy (Tech Pro Research) For clear guidelines "
cc_news_22_How to request your personal d,personal,advanced,other,6,""" According to SAR guidelines from the ICO, an individual should have the personal data held on them"
cc_news_23_5 data protection policies you,SEE,advanced,technical_term,2,SEE: EU General Data Protection Regulation (GDPR) policy (Tech Pro Research) GDPR will likely influe
cc_news_23_5 data protection policies you,policies,advanced,other,11,5 data protection policies your employees must know in the post-GDPR era The EU's General Data Prote
cc_news_23_5 data protection policies you,employees,advanced,other,5,5 data protection policies your employees must know in the post-GDPR era The EU's General Data Prote
cc_news_23_5 data protection policies you,GDPR,advanced,technical_term,12,"""GDPR closes all those gaps,"" he added"
cc_news_24_Why a cloud-friendly Java coul,Eclipse,basic,other,7,"SEE: Job description: Java developer (Tech Pro Research) To ease that frustration, Tuesday the Eclip"
cc_news_24_Why a cloud-friendly Java coul,SEE,advanced,technical_term,2,"SEE: Job description: Java developer (Tech Pro Research) To ease that frustration, Tuesday the Eclip"
cc_news_24_Why a cloud-friendly Java coul,that,basic,other,9,"SEE: Job description: Java developer (Tech Pro Research) To ease that frustration, Tuesday the Eclip"
cc_news_24_Why a cloud-friendly Java coul,cloud,basic,other,11,"Java's cloudy future In the survey, the Eclipse Foundation learned that the three most critical area"
cc_news_25_Report: 32% of IT pros plan to,reported,advanced,other,4,Another 2% reported plans to retire in 2018
cc_news_25_Report: 32% of IT pros plan to,SEE,advanced,technical_term,2,"SEE: IT jobs 2018: Hiring priorities, growth areas, and strategies to fill open roles (Tech Pro Rese"
cc_news_25_Report: 32% of IT pros plan to,IT,advanced,technical_term,28,Some 32% of IT professionals said they plan to search for or take an IT job with a new employer in 2
cc_news_25_Report: 32% of IT pros plan to,employer,advanced,other,6,Some 32% of IT professionals said they plan to search for or take an IT job with a new employer in 2
cc_news_26_How to protect your company fr,that,basic,other,7,"With that in mind, data loss prevention (DLP) can be a handy tool in combating phishing gimmicks of "
cc_news_26_How to protect your company fr,SEE,advanced,technical_term,2,SEE: Intrusion detection policy (Tech Pro Research) Another potential solution is user and entity be
cc_news_26_How to protect your company fr,from,basic,other,9,Another common scam (which can occur throughout the year) involves receiving a phone call from an in
cc_news_26_How to protect your company fr,phishing,advanced,other,8,"However, in a genuine phishing scenario where Ray sends a W-2 form to SWRedLeader55@gmail"
cc_news_26_How to protect your company fr,the,basic,other,44,Another common scam (which can occur throughout the year) involves receiving a phone call from an in
cc_news_26_How to protect your company fr,this,basic,other,8,You should also report this to the Federal Trade Commission via the FTC Complaint Assistant on FTC
cc_news_27_HTC VIVE announces price for t,with,basic,other,5,"The VIVE Pro's capabilities The VIVE Pro will begin shipping on April 5, 2018, and is a considerable"
cc_news_27_HTC VIVE announces price for t,month,intermediate,other,4,"Included with the new VR headset is a six-month subscription to VIVEPORT, a VR gaming subscription s"
cc_news_27_HTC VIVE announces price for t,that,intermediate,other,4,"HTC VIVE US general manager Daniel O'Brien said that the VIVE Pro is designed to deliver ""the best q"
cc_news_27_HTC VIVE announces price for t,HTC,advanced,technical_term,8,"HTC VIVE US general manager Daniel O'Brien said that the VIVE Pro is designed to deliver ""the best q"
cc_news_27_HTC VIVE announces price for t,VIVE,advanced,technical_term,24,"HTC VIVE US general manager Daniel O'Brien said that the VIVE Pro is designed to deliver ""the best q"
cc_news_27_HTC VIVE announces price for t,VR,advanced,technical_term,11,Developers interested in becoming a part of HTC's vision for the future of VR can learn more about b
cc_news_28_Are smart locks secure? AV-TES,SEE,advanced,technical_term,2,SEE: Internet of Things Policy (Tech Pro Research) AV-TEST put six smart locks' data security throug
cc_news_28_Are smart locks secure? AV-TES,engineers,advanced,other,6,The lab's engineers developed a test program and put these six smart locks through their paces: Augu
cc_news_28_Are smart locks secure? AV-TES,USA,advanced,technical_term,2,The lab's engineers developed a test program and put these six smart locks through their paces: Augu
cc_news_28_Are smart locks secure? AV-TES,Danalock,advanced,other,8,The lab's engineers developed a test program and put these six smart locks through their paces: Augu
cc_news_28_Are smart locks secure? AV-TES,AV,advanced,technical_term,11,SEE: Internet of Things Policy (Tech Pro Research) AV-TEST put six smart locks' data security throug
cc_news_28_Are smart locks secure? AV-TES,TEST,advanced,technical_term,12,SEE: Internet of Things Policy (Tech Pro Research) AV-TEST put six smart locks' data security throug
cc_news_29_Top 5: Things AI might actuall,and,basic,other,19,SEE: How to implement AI and machine learning (ZDNet) | Download the report as a PDF (TechRepublic) 
cc_news_29_Top 5: Things AI might actuall,some,intermediate,other,3,But AI is also being used to create some legitimately useful tools
cc_news_29_Top 5: Things AI might actuall,good,intermediate,other,3,Top 5: Things AI might actually be good for Artificial intelligence (AI) is increasingly mocked as b
cc_news_29_Top 5: Things AI might actuall,AI,advanced,technical_term,14,SEE: How to implement AI and machine learning (ZDNet) | Download the report as a PDF (TechRepublic) 
cc_news_30_How 5G will power innovations ,SEE,advanced,technical_term,2,SEE: IT pro's guide to the evolution and impact of 5G technology (free PDF) (TechRepublic) Of course
cc_news_30_How 5G will power innovations ,innovations,advanced,other,4,"How 5G will power innovations in VR and artificial intelligence Manish Vyas, president of business c"
cc_news_30_How 5G will power innovations ,VR,advanced,technical_term,4,"The experience that they will now get, imagine with the VR and with the discoverable aspect of the n"
cc_news_30_How 5G will power innovations ,artificial,advanced,other,3,"How 5G will power innovations in VR and artificial intelligence Manish Vyas, president of business c"
cc_news_30_How 5G will power innovations ,intelligence,advanced,other,3,"How 5G will power innovations in VR and artificial intelligence Manish Vyas, president of business c"
cc_news_30_How 5G will power innovations ,NFL,advanced,technical_term,2,"The experience that they will now get, imagine with the VR and with the discoverable aspect of the n"
cc_news_30_How 5G will power innovations ,business,advanced,other,4,"How 5G will power innovations in VR and artificial intelligence Manish Vyas, president of business c"
cc_news_30_How 5G will power innovations ,Patterson,advanced,other,5,"Patterson: Manish, I think that that is a great point"
cc_news_30_How 5G will power innovations ,technology,advanced,other,5,SEE: IT pro's guide to the evolution and impact of 5G technology (free PDF) (TechRepublic) Of course
cc_news_30_How 5G will power innovations ,technologies,advanced,other,3,"I think it is, and all of them are related, the convergence of other software technologies that are "
cc_news_31_Five programming languages wit,that,basic,other,13,IOActive found that NodeJS' built-in error messages for its require function could be exploited to d
cc_news_31_Five programming languages wit,IOActive,advanced,other,6,IOActive found that NodeJS' built-in error messages for its require function could be exploited to d
cc_news_31_Five programming languages wit,programming,advanced,other,8,""" These are the five programming languages and the flaws that were identified: 1"
cc_news_31_Five programming languages wit,function,advanced,other,8,"By calling executable Ruby code using a specific function in JRuby, IOActive was able to get the fun"
cc_news_32_How the blockchain could help ,There,basic,other,5,There's opportunities for us to mimic or build our own
cc_news_32_How the blockchain could help ,right,basic,other,21,"It was an amazing time for news, right, and all news media"
cc_news_32_How the blockchain could help ,Right,intermediate,other,3,"Right, or are they in New Jersey"
cc_news_32_How the blockchain could help ,SEE,advanced,technical_term,2,SEE: Blockchain: An insider's guide (free PDF) (TechRepublic) Po
cc_news_32_How the blockchain could help ,blockchain,advanced,other,28,Why is a blockchain good for public pieces of media
cc_news_32_How the blockchain could help ,media,basic,other,27,"In media, that really doesn't exist, right"
cc_news_32_How the blockchain could help ,Patterson,advanced,other,8,"Patterson: Yeah, so explain to me how that applies to Po"
cc_news_32_How the blockchain could help ,Dicker,basic,other,8,Dicker: Three of the most frequent questions I get
cc_news_32_How the blockchain could help ,there,basic,other,21,We leverage Ethereum for ERC-20 tokens because Po
cc_news_33_Windows 10 wishlist: Five grip,Windows,basic,other,17,Subscribe More on Windows 10 Fall Creators Update
cc_news_33_Windows 10 wishlist: Five grip,However,intermediate,other,3,"However, having to juggle between the two menus is not particularly user friendly, and the changes i"
cc_news_33_Windows 10 wishlist: Five grip,Microsoft,advanced,other,21,Subscribe to our Microsoft Weekly newsletter
cc_news_33_Windows 10 wishlist: Five grip,updates,basic,other,12,Allow users to opt out of feature updates altogether Not everyone appreciates Microsoft's twice-year
cc_news_34_The top 5 iPhone X gestures ev,feature,intermediate,other,3,This feature is very useful on the iPhone and greatly improves multitasking capabilities because it 
cc_news_34_The top 5 iPhone X gestures ev,tapping,intermediate,other,4,"First, enter this mode by tapping and holding on an icon or folder on the Home Screen"
cc_news_34_The top 5 iPhone X gestures ev,SEE,advanced,technical_term,2,SEE: Cybersecurity in an IoT and mobile world (ZDNet special report) | Download the report as a PDF 
cc_news_34_The top 5 iPhone X gestures ev,previous,advanced,other,5,SEE: Mobile device computing policy (Tech Pro Research) 1: How to access the App Switcher on the iPh
cc_news_35_HPE and NASA experiment with ',that,basic,other,5,"HPE and NASA experiment with 'Spaceborne Computer,' a supercomputer that could help us get to Mars I"
cc_news_35_HPE and NASA experiment with ',HPE,advanced,technical_term,6,"HPE and NASA experiment with 'Spaceborne Computer,' a supercomputer that could help us get to Mars I"
cc_news_35_HPE and NASA experiment with ',Spaceborne,advanced,other,5,"HPE and NASA experiment with 'Spaceborne Computer,' a supercomputer that could help us get to Mars I"
cc_news_35_HPE and NASA experiment with ',Computer,advanced,other,5,"HPE and NASA experiment with 'Spaceborne Computer,' a supercomputer that could help us get to Mars I"
cc_news_36_Apple's FileVault 2 encryption,available,advanced,other,6,FileVault 2 has been available to each version of OS X/macOS since 10
cc_news_36_Apple's FileVault 2 encryption,SEE,advanced,technical_term,3,SEE: Essential reading for IT leaders: 10 books on cybersecurity (free PDF) (TechRepublic) Once File
cc_news_36_Apple's FileVault 2 encryption,FileVault,advanced,other,57,FileVault 2 is in all versions of OS X from 10
cc_news_36_Apple's FileVault 2 encryption,encryption,advanced,other,39,"Using default settings, BitLocker uses AES encryption with XTS mode in conjunction with 128-bit or 2"
cc_news_36_Apple's FileVault 2 encryption,XTS,advanced,technical_term,2,"Using default settings, BitLocker uses AES encryption with XTS mode in conjunction with 128-bit or 2"
cc_news_36_Apple's FileVault 2 encryption,FUSE,advanced,technical_term,3,"FUSE/EncFS are open source releases and support Linux, BSD, Windows, Android devices, and macOS"
cc_news_36_Apple's FileVault 2 encryption,AES,advanced,technical_term,2,"Using default settings, BitLocker uses AES encryption with XTS mode in conjunction with 128-bit or 2"
cc_news_36_Apple's FileVault 2 encryption,IT,advanced,technical_term,5,SEE: Essential reading for IT leaders: 10 books on cybersecurity (free PDF) (TechRepublic) Once File
cc_news_36_Apple's FileVault 2 encryption,OS,advanced,technical_term,27,All macOS users can enable FileVault 2 to protect their data
cc_news_37_How Google Fiber turned 2017 i,Google,basic,other,18,"Google Fiber has still had an impact this year, he said"
cc_news_37_How Google Fiber turned 2017 i,CA,advanced,technical_term,2,"Six potential cities—Portland, OR, San Jose, CA, Los Angeles, CA, Dallas, TX, Oklahoma City, OK, Tam"
cc_news_37_How Google Fiber turned 2017 i,FL,advanced,technical_term,2,"Six potential cities—Portland, OR, San Jose, CA, Los Angeles, CA, Dallas, TX, Oklahoma City, OK, Tam"
cc_news_37_How Google Fiber turned 2017 i,SEE,advanced,technical_term,4,SEE: Google Fiber 2
cc_news_38_What is hyperconverged infrast,Zeus,basic,other,11,"Zeus Kerravala: ""I'm not sure the CIO does"
cc_news_38_What is hyperconverged infrast,play,intermediate,other,3,We played the role of skeptic
cc_news_38_What is hyperconverged infrast,There,intermediate,other,3,There's a theme of digital transformation that's cutting across all businesses
cc_news_38_What is hyperconverged infrast,hyperconverged,advanced,other,8,"What is hyperconverged infrastructure, and why should you care"
cc_news_38_What is hyperconverged infrast,infrastructure,advanced,other,9,"What is hyperconverged infrastructure, and why should you care"
cc_news_38_What is hyperconverged infrast,SEE,advanced,technical_term,3,""" SEE: Digital transformation: A CXO's guide (ZDNet special report) | Download the report as a PDF ("
cc_news_39_How to choose the right wearab,fitness,basic,other,7,"fitness Building a slide deck, pitch, or presentation"
cc_news_39_How to choose the right wearab,wearable,advanced,other,14,A wearable won't do much if you don't wear it because of its look
cc_news_39_How to choose the right wearab,device,basic,other,10,Runners may want a device with a built-in GPS so they can track their runs
cc_news_39_How to choose the right wearab,business,advanced,other,12,How to choose the right wearable device for business vs
cc_news_40_How to sort and delete sets of,subject,basic,other,7,"Or, add a subject as well, to narrow the results further: from:andy@pa311"
cc_news_40_How to sort and delete sets of,current,basic,other,5,"If your search returns more email than is displayed on the current screen, you'll see a message abov"
cc_news_40_How to sort and delete sets of,several,intermediate,other,3,"While there are several time-search options, try before: or older_than: first"
cc_news_40_How to sort and delete sets of,specific,advanced,other,5,Locates email larger than a specific size
cc_news_40_How to sort and delete sets of,notifications,advanced,other,3,", update notifications and system down/up notifications) Outdated social media or account sign-in no"
cc_news_40_How to sort and delete sets of,messages,advanced,other,4,How often do you delete sets of messages from Gmail
cc_news_40_How to sort and delete sets of,administrator,advanced,other,6,"First, an administrator can set a Gmail auto-delete policy (from admin"
cc_news_41_Google Cloud Speech API gets e,Google,basic,other,10,"Google Cloud Speech API gets enterprise upgrade with new tools and 30 more languages On Monday, Goog"
cc_news_41_Google Cloud Speech API gets e,Cloud,basic,other,9,"Google Cloud Speech API gets enterprise upgrade with new tools and 30 more languages On Monday, Goog"
cc_news_41_Google Cloud Speech API gets e,Speech,basic,other,8,"Google Cloud Speech API gets enterprise upgrade with new tools and 30 more languages On Monday, Goog"
cc_news_41_Google Cloud Speech API gets e,API,advanced,technical_term,11,"Google Cloud Speech API gets enterprise upgrade with new tools and 30 more languages On Monday, Goog"
cc_news_42_How Australia's backdoor propo,privacy,intermediate,other,3,"See: IT security and privacy: Concerns, initiatives, and predictions (Tech Pro Research) Encryption "
cc_news_42_How Australia's backdoor propo,policy,intermediate,other,3,The policy requested by Turnbull affects the rest of the world because Australia's encryption policy
cc_news_42_How Australia's backdoor propo,IT,advanced,technical_term,2,"See: IT security and privacy: Concerns, initiatives, and predictions (Tech Pro Research) Encryption "
cc_news_42_How Australia's backdoor propo,Stepanovich,advanced,other,5,"These tactics are easily circumvented, said Stepanovich"
cc_news_43_How one AI company is bringing,medical,basic,other,11,""" SEE: How to implement AI and machine learning (free PDF) (ZDNet/TechRepublic special report) Here "
cc_news_43_How one AI company is bringing,SEE,advanced,technical_term,2,""" SEE: How to implement AI and machine learning (free PDF) (ZDNet/TechRepublic special report) Here "
cc_news_43_How one AI company is bringing,analytics,advanced,other,10,""" SEE: How to implement AI and machine learning (free PDF) (ZDNet/TechRepublic special report) Here "
cc_news_43_How one AI company is bringing,AI,advanced,technical_term,10,""" SEE: How to implement AI and machine learning (free PDF) (ZDNet/TechRepublic special report) Here "
cc_news_44_A new slim version of Windows ,Windows,basic,other,23,SEE: Securing Windows policy (Tech Pro Research) WIndows 10 Lean could make a great OS for any syste
cc_news_44_A new slim version of Windows ,version,intermediate,other,3,"A new slim version of Windows 10 called ""Lean"" could be perfect for low-end PCs Building a slide dec"
cc_news_44_A new slim version of Windows ,OS,advanced,technical_term,2,SEE: Securing Windows policy (Tech Pro Research) WIndows 10 Lean could make a great OS for any syste
cc_news_44_A new slim version of Windows ,GB,advanced,technical_term,2,It lacks many Windows 10 features and has a 2GB smaller installation size
cc_news_45_Essential Phone PH-1 review: T,software,advanced,other,4,"The software is a bit slow, and the low-light photos are far from great"
cc_news_45_Essential Phone PH-1 review: T,GB,advanced,technical_term,2,Couple that with the speedy Qualcomm Snapdragon 835 processor paired with 4GB of RAM and 128GB of in
