question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx
What pieces of advice does she give to young dancers who are just starting out?,"She advises valuing the discipline ballet instills because it's an invaluable quality, and to treat each day as a new start by staying positive and moving forward.",application,chunk_5,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,5
Who was announced as Nevada Ballet Theatre's new artistic director?,Roy Kaiser was announced as Nevada Ballet Theatre's new artistic director.,fact,chunk_0,cc_news_5_Roy Kaiser to Become Nevada Ba,cc_news,0
Whom will Roy Kaiser replace as artistic director of Nevada Ballet Theatre?,He will replace James Canfield.,fact,chunk_0,cc_news_5_Roy Kaiser to Become Nevada Ba,cc_news,0
What numerical milestone does Roy Kaiser represent in NBT's leadership history?,Kaiser will be the fourth artistic director in NBT's 46-year history.,fact,chunk_0,cc_news_5_Roy Kaiser to Become Nevada Ba,cc_news,0
How did Roy Kaiser's leadership change the Pennsylvania Ballet's repertoire?,Under his leadership Pennsylvania Ballet added 90 new ballets and 35 world premieres to their repertoire.,fact,chunk_1,cc_news_5_Roy Kaiser to Become Nevada Ba,cc_news,1
What event will Kaiser immediately be involved with upon joining NBT?,"He will be involved with the company's 10th Anniversary Celebration of A Choreographer's Showcase, a collaboration with Cirque du Soleil opening that weekend.",fact,chunk_1,cc_news_5_Roy Kaiser to Become Nevada Ba,cc_news,1
Which November program will highlight Kaiser's Balanchine roots and which works will it feature?,"The program titled Classic Americana will feature Balanchine's Serenade and Western Symphony, as well as Paul Taylor's Company B.",fact,chunk_0,cc_news_6_What It's Like Inside NYCB Aft,cc_news,0
Why have New York City Ballet dancers felt Peter Martins' absence most during dress rehearsals?,Because Martins frequently supervised the final rehearsals before performances and often shared Balanchine-related insights at those sessions.,reason,chunk_0,cc_news_6_What It's Like Inside NYCB Aft,cc_news,0
What concerns did NYCB dancers express about the company after Martins' retirement?,"Dancers expressed uncertainty about who the new director would be, the search process, oversight of Balanchine ballets, casting decisions, and potential job security impacts.",reason,chunk_0,cc_news_6_What It's Like Inside NYCB Aft,cc_news,0
How did Martins' typical involvement in daily rehearsals compare to his role before performances?,He rarely attended daily rehearsals but regularly supervised the final rehearsals immediately before performances.,comparison,chunk_0,cc_news_6_What It's Like Inside NYCB Aft,cc_news,0
"Who wrote the original ""Nutcracker and Mouse King"" and when was it written?","E. T. A. Hoffmann, a German writer, wrote the original ""Nutcracker and Mouse King"" in 1816.",fact,chunk_0,cc_news_7_Nutcracker Secrets and Surpris,cc_news,0
How did Alexandre Dumas alter Hoffmann's Nutcracker story about 30 years later?,"Dumas lightened the tale, softened character descriptions, and changed the protagonist's name to present a more cheerful, magical tone.",comparison,chunk_0,cc_news_7_Nutcracker Secrets and Surpris,cc_news,0
"What is the significance of the name change from ""Marie Stahlbaum"" to ""Clara Silberhaus""?","""Marie Stahlbaum"" (meaning ""steel tree"") suggested a repressive family that fueled Marie's imagination, while ""Clara Silberhaus"" (""silver house"") evokes a magnificent, shiny, magical home.",reason,chunk_0,cc_news_7_Nutcracker Secrets and Surpris,cc_news,0
Which choreographer and composer staged The Nutcracker at the Mariinsky Theatre in 1892?,Choreographer Marius Petipa and composer Pyotr Ilyich Tchaikovsky staged The Nutcracker at the Mariinsky Theatre in 1892.,fact,chunk_1,cc_news_7_Nutcracker Secrets and Surpris,cc_news,1
Who completed the choreography when Marius Petipa fell ill during The Nutcracker's creation?,"Petipa's assistant, Lev Ivanov, took over the choreography after Petipa fell ill.",fact,chunk_1,cc_news_7_Nutcracker Secrets and Surpris,cc_news,1
What criticisms did reviewers have of The Nutcracker at its 1892 premiere?,"Critics found the work uneven, lamented the lack of a main ballerina in the first act, and felt the story was too light compared with historically based ballets.",fact,chunk_1,cc_news_7_Nutcracker Secrets and Surpris,cc_news,1
How did Tchaikovsky's score affect The Nutcracker's survival after its poor initial reception?,The success of Tchaikovsky's score helped the ballet survive despite its unfavorable initial critical reception.,reason,chunk_2,cc_news_7_Nutcracker Secrets and Surpris,cc_news,2
How did Nikolas Sergeyev approach staging Petipa's ballets for the Vic-Wells Ballet from the original notation?,"Sergeyev used the original notations despite them being incomplete and difficult to read, persisting to stage Petipa's ballets at the Vic-Wells Ballet.",application,chunk_2,cc_news_7_Nutcracker Secrets and Surpris,cc_news,2
"Which company brought an abridged version of The Nutcracker to the United States and when, and who choreographed the first full-length U.S. Nutcracker?","The Ballet Russe de Monte Carlo brought an abridged Nutcracker to the U.S. in 1940, and Willam Christensen choreographed the first full-length U.S. Nutcracker in 1944 for the San Francisco Ballet.",fact,chunk_2,cc_news_7_Nutcracker Secrets and Surpris,cc_news,2
Who founded Ballet West and continues to have his version of The Nutcracker performed there each year?,"Christensen founded Ballet West, and the company continues to perform his version of The Nutcracker annually.",fact,chunk_3,cc_news_7_Nutcracker Secrets and Surpris,cc_news,3
"When did New York City Ballet first present Balanchine's Nutcracker, and when was it moved to December?",NYCB first presented Balanchine's Nutcracker in February 1954 and moved it to December the following year.,fact,chunk_3,cc_news_7_Nutcracker Secrets and Surpris,cc_news,3
Why do some historians credit George Balanchine with firmly linking The Nutcracker to the holiday season?,"Because Balanchine made the ballet a fixture of the Christmas season and a regular part of a ballet company's repertory, according to critic Robert Greskovic.",reason,chunk_3,cc_news_7_Nutcracker Secrets and Surpris,cc_news,3
How does Christopher Wheeldon's Nutcracker for the Joffrey Ballet reflect regional heritage?,"Wheeldon's Nutcracker is set at Chicago's 1893 World's Fair, tying the production to local history.",fact,chunk_4,cc_news_7_Nutcracker Secrets and Surpris,cc_news,4
How do ballet companies use The Nutcracker to support their ability to present new works throughout the rest of the year?,Companies rely on The Nutcracker as a financial backbone—the holiday show's strong ticket sales provide revenue that funds inventive and cutting-edge works during the rest of the season.,application,chunk_4,cc_news_7_Nutcracker Secrets and Surpris,cc_news,4
How many tickets did San Francisco Ballet and Boston Ballet sell last year for their holiday Nutcracker productions?,"San Francisco Ballet sold 87,926 tickets and Boston Ballet sold 92,907 tickets.",fact,chunk_4,cc_news_7_Nutcracker Secrets and Surpris,cc_news,4
How do the ticket sales of Boston Ballet and San Francisco Ballet compare for last year's Nutcracker?,"Boston Ballet sold 92,907 tickets versus San Francisco Ballet's 87,926, meaning Boston sold 4,981 more tickets.",comparison,chunk_5,cc_news_7_Nutcracker Secrets and Surpris,cc_news,5
"According to dance historian Doug Fullington, what element did the original 1892 Nutcracker scenario include regarding Clara's welcome in the Land of Sweets?",The original 1892 scenario featured two sisters who graciously welcomed Clara to the Land of Sweets with warm hugs.,fact,chunk_5,cc_news_7_Nutcracker Secrets and Surpris,cc_news,5
What instrument produces the ethereal twinkling in the Sugar Plum Fairy's solo and where did Tchaikovsky first hear it?,"The celesta produces the ethereal twinkling, and Tchaikovsky heard the instrument in France.",fact,chunk_5,cc_news_7_Nutcracker Secrets and Surpris,cc_news,5
How much budget was Balanchine given for his 1954 premiere?,"Balanchine was given a budget of $40,000 for his 1954 premiere.",fact,chunk_6,cc_news_7_Nutcracker Secrets and Surpris,cc_news,6
Why did Balanchine insist on having the Christmas tree for the production?,"When asked if he could do without the tree, Balanchine replied, ""[The ballet] is the tree,"" indicating he considered the tree integral to the ballet.",reason,chunk_6,cc_news_7_Nutcracker Secrets and Surpris,cc_news,6
"How did the original intended performers of the Cavalier's variation differ from Pavel Gerdt, who created the role?","Choreographic notations suggest the Cavalier's variation was originally danced by a retinue of eight female fairies representing fruit, flowers, and dreams, whereas Pavel Gerdt, who created the role, was likely too old to perform that variation himself.",comparison,chunk_6,cc_news_7_Nutcracker Secrets and Surpris,cc_news,6
What is the slide performed in Balanchine's grand pas de deux?,"In Balanchine's grand pas de deux the lead ballerina holds an arabesque while gliding across the stage on pointe, being pulled by her prince.",fact,chunk_7,cc_news_7_Nutcracker Secrets and Surpris,cc_news,7
From whom did Balanchine take the toe-slide element used in his grand pas de deux?,"According to Fullington, Balanchine took the slide from Ivanov's original choreography.",reason,chunk_7,cc_news_7_Nutcracker Secrets and Surpris,cc_news,7
What was the Sugar Plum Fairy's prince's original name and what did it mean?,"The Sugar Plum Fairy's prince's original name was ""Prince Coqueluche,"" which means ""whooping cough"" in French and likely referred to a lozenge candy.",fact,chunk_7,cc_news_7_Nutcracker Secrets and Surpris,cc_news,7
How many dance studios are there at the Beijing Dance Academy described in the text?,The Beijing Dance Academy has 60 spacious dance studios.,fact,chunk_0,cc_news_8_Inside the Beijing Dance Acade,cc_news,0
How do teachers assist students during practice sessions at the Beijing Dance Academy?,Teachers help by calling out corrections from the front of the room while students work individually on their steps.,application,chunk_0,cc_news_8_Inside the Beijing Dance Acade,cc_news,0
At what age did Pei Yu Meng join the Beijing Dance Academy and what is her current status there?,"Pei Yu Meng joined the school at age 10 from Hebei and is now 20, in her third year of BDA's professional program.",fact,chunk_0,cc_news_8_Inside the Beijing Dance Acade,cc_news,0
When was the Beijing Dance Academy (BDA) founded and by whom?,BDA was founded in 1954 by the country's communist government.,fact,chunk_1,cc_news_8_Inside the Beijing Dance Acade,cc_news,1
Approximately how many students and full-time teachers does BDA have?,"BDA has close to 3,000 students and about 275 full-time teachers.",fact,chunk_1,cc_news_8_Inside the Beijing Dance Acade,cc_news,1
What departments does BDA include and what kinds of degrees does it offer?,"BDA has four departments—ballet, classical Chinese dance, social dance and musical theater—and offers degrees in performance, choreography and related fields.",fact,chunk_1,cc_news_8_Inside the Beijing Dance Acade,cc_news,1
How is the ballet program at BDA structured in terms of divisions and duration?,"The ballet program has a seven-year lower division and a four-year professional bachelor program, with an extensive admission procedure for the professional division.",fact,chunk_2,cc_news_8_Inside the Beijing Dance Acade,cc_news,2
What do applicants perform and undergo during the two-day audition process in Beijing?,"Applicants aged 16 to 18 present classical and contemporary variations, improvisational work, and take an academic exam.",fact,chunk_2,cc_news_8_Inside the Beijing Dance Acade,cc_news,2
Why does BDA not host international students very often despite admitting foreign applicants?,Because the academic entrance exam measures Chinese language proficiency and most classes are taught in Chinese.,reason,chunk_2,cc_news_8_Inside the Beijing Dance Acade,cc_news,2
How has BDA's ballet training changed since 2011?,"Since 2011 the school has made major efforts to broaden ballet students' knowledge of Chinese dance traditions and the works of Western contemporary ballet choreographers, beyond its traditional Russian-style focus.",comparison,chunk_3,cc_news_8_Inside the Beijing Dance Acade,cc_news,3
How is classical Chinese dance applied to complement ballet technique at BDA?,Classical Chinese dance emphasizes circular upper-body movements and coordination—such as circling the head during an attitude promenade—which complements and enhances ballet technique.,application,chunk_3,cc_news_8_Inside the Beijing Dance Acade,cc_news,3
What are typical class sizes and how do teachers give feedback in upper-level ballet classes?,"Upper-level classes are kept small—around eight students—and teachers correct individual students (usually the best ones) using terms like ""not good"" (bù hǎo) and ""better"" (gèng hǎo), rarely giving praise.",fact,chunk_3,cc_news_8_Inside the Beijing Dance Acade,cc_news,3
"Where do BDA students live while studying, and how do they view the school?","Students live on campus in dormitories with little free time, and they consider BDA their home until graduation.",fact,chunk_4,cc_news_8_Inside the Beijing Dance Acade,cc_news,4
Why is Stage Time Performance considered the most important aspect of BDA students' professional development?,Because performances are students' primary chance to be discovered—directors from surrounding Chinese companies attend to scout new talent since dancers don't usually audition internationally.,reason,chunk_4,cc_news_8_Inside the Beijing Dance Acade,cc_news,4
Which organizations' directors attend BDA performances to scout dancers?,"Directors from surrounding Chinese companies, including the National Ballet of China, attend to scout dancers.",fact,chunk_4,cc_news_8_Inside the Beijing Dance Acade,cc_news,4
"How intense are rehearsals for La Bayadère, Act II, at BDA?","Rehearsals are intense: no understudies are present, coaches immediately point out any imperfection, and every line, head, arm and foot placement is perfected.",fact,chunk_5,cc_news_8_Inside the Beijing Dance Acade,cc_news,5
How do dancers at BDA build stamina during preparation for a piece?,Students run the piece twice for stamina and between run-throughs they fastidiously practice difficult sections until satisfied.,fact,chunk_5,cc_news_8_Inside the Beijing Dance Acade,cc_news,5
Which contemporary choreographers' works have BDA students performed recently?,"Recent performances have included works by Paul Taylor, Jorma Elo and Christopher Wheeldon.",fact,chunk_5,cc_news_8_Inside the Beijing Dance Acade,cc_news,5
How did Jorma Elo's instruction on Over Glow affect Pei Yu's movement approach?,"Elo showed her how to handle rhythm with the whole body, which made contemporary ballet feel more exciting and free compared with classical ballet's many rules.",application,chunk_5,cc_news_8_Inside the Beijing Dance Acade,cc_news,5
"According to coach Sun Jie, what was the effect of introducing works by Western choreographers at BDA?","Introducing Western works initially challenged students to move more freely, and over time learning these styles opened dancers' eyes to new possibilities and broadened their abilities.",reason,chunk_6,cc_news_8_Inside the Beijing Dance Acade,cc_news,6
How does the age at which BDA students enter professional life compare to the West?,"BDA students enter professional life somewhat older than in the West, with graduates typically ranging from 20 to 22 years old.",comparison,chunk_6,cc_news_8_Inside the Beijing Dance Acade,cc_news,6
"What career paths do BDA graduates commonly pursue, and how common are overseas jobs?","Only the most promising students receive company contracts while others take teaching or dance-related posts at BDA or nearby schools; only a small percentage of graduates accept jobs abroad, though some alumni have joined American companies.",fact,chunk_6,cc_news_8_Inside the Beijing Dance Acade,cc_news,6
When did Frank Andersen begin serving as a guest teacher at BDA?,Frank Andersen has been a guest teacher at the school since 2002.,fact,chunk_7,cc_news_8_Inside the Beijing Dance Acade,cc_news,7
Which Bournonville ballets have BDA students performed in?,"BDA students have performed in Napoli's Act III, La Ventana, Conservatory, and some danced in the National Ballet of China's 2015 production of La Sylphide.",fact,chunk_7,cc_news_8_Inside the Beijing Dance Acade,cc_news,7
How does Andersen teach Bournonville technique when there isn't time for separate technique classes?,"When time is limited, Andersen imparts Bournonville lessons through the repertoire and Danish mime rather than separate technique classes.",application,chunk_7,cc_news_8_Inside the Beijing Dance Acade,cc_news,7
Why does Andersen emphasize making the mime believable?,"Andersen says believable mime is most important because young dancers often have the urge to overact, so authenticity is essential.",reason,chunk_8,cc_news_8_Inside the Beijing Dance Acade,cc_news,8
"According to the speaker in Text 2, what can be more effective than telling?",The speaker says showing—demonstrating with mime or gesture—can be more effective than telling.,fact,chunk_8,cc_news_8_Inside the Beijing Dance Acade,cc_news,8
How does the speaker contrast showing and telling in relation to Bournonville's work?,The speaker argues that showing is often more effective than telling because Bournonville's work is very honest.,comparison,chunk_0,cc_news_9_Isabella Boylston and James Wh,cc_news,0-1
What nickname do Isabella Boylston and James Whiteside use for each other?,They call each other the Cindies.,fact,chunk_0,cc_news_9_Isabella Boylston and James Wh,cc_news,0-1
What foods did Boylston and Whiteside discuss as mutual favorites during their Kennedy Center interview?,"They discussed their mutual love of food, particularly pasta and Japanese curry.",fact,chunk_0,cc_news_9_Isabella Boylston and James Wh,cc_news,0-1
What is one of Boylston's worst Kennedy Center memories mentioned in the text?,One worst memory she mentions is falling onstage while doing fouettés at the end of La Bayadère's first act.,fact,chunk_0,cc_news_9_Isabella Boylston and James Wh,cc_news,0-1
