id,text,Combined_Text
27,"そんな男が、こんな時間に桂を呼び出すとは何事だろうか。酒宴を開くような性格には思えなかったが。
",そんな男が、こんな時間に桂を呼び出すとは何事だろうか。酒宴を開くような性格には思えなかったが。
28,"ろくな言葉を発することができなくて、我ながら頭の悪さに泣きたくなった。
",ろくな言葉を発することができなくて、我ながら頭の悪さに泣きたくなった。
29,"正直、敗戦続きで戦況はきつかった。それでも、坂本という後方支援を得てからは金銭的に苦労することは少なくなった。行く先々で拠点を構える際にも、攘夷浪士にあまりいい顔をしないその土地の有力者を金で丸めこむこともできるようになった。戦に於いて地元の人間の協力は必要不可欠なのだ。
",正直、敗戦続きで戦況はきつかった。それでも、坂本という後方支援を得てからは金銭的に苦労することは少なくなった。行く先々で拠点を構える際にも、攘夷浪士にあまりいい顔をしないその土地の有力者を金で丸めこむこともできるようになった。戦に於いて地元の人間の協力は必要不可欠なのだ。
30,"それほどまでに戦況は厳しくて、それほどまでに誰もが追い詰められていた。
",それほどまでに戦況は厳しくて、それほどまでに誰もが追い詰められていた。
31,"何を言っているんだ、と思う一方で、あの桂がそんな冗談を言うわけがないことないぐらい分かっている。何よりも、真っ直ぐに銀時を射抜く視線は言葉もいらぬほど雄弁だった。
",何を言っているんだ、と思う一方で、あの桂がそんな冗談を言うわけがないことないぐらい分かっている。何よりも、真っ直ぐに銀時を射抜く視線は言葉もいらぬほど雄弁だった。
32,"生娘でもあるまいし、初めては好きな人に、なんていう殊勝な考えをこいつでもするのだろうか。分からないが、これから目的の為にとはいえ男としての屈辱を自ら味わいに行かなければならないのなら、少しでも心が軽くなる方法を選びたくなるというものではないか。
",生娘でもあるまいし、初めては好きな人に、なんていう殊勝な考えをこいつでもするのだろうか。分からないが、これから目的の為にとはいえ男としての屈辱を自ら味わいに行かなければならないのなら、少しでも心が軽くなる方法を選びたくなるというものではないか。
33,"と、そこまで考えてはたと気付く。こいつだって立派な男なのだ。好いた相手が男なわけがあるまい。屈辱的なことをされに行くやつに、屈辱的なことを聞いてしまった。
",と、そこまで考えてはたと気付く。こいつだって立派な男なのだ。好いた相手が男なわけがあるまい。屈辱的なことをされに行くやつに、屈辱的なことを聞いてしまった。
34,"皆まで言うことなく、桂は肯定した。その声は、ほんのりと震えている。
",皆まで言うことなく、桂は肯定した。その声は、ほんのりと震えている。
35,"そんなこと、考えたこともなかった。だってこいつは、大事な大事な、幼馴染だ。それを言葉にして伝えたことはなかったが。
",そんなこと、考えたこともなかった。だってこいつは、大事な大事な、幼馴染だ。それを言葉にして伝えたことはなかったが。
36,"見たことのない幼馴染の顔に、どんどんと頭が混乱していく。幼い表情しか知らなかったのに、こんな大人びた顔をするようになったのか。
",見たことのない幼馴染の顔に、どんどんと頭が混乱していく。幼い表情しか知らなかったのに、こんな大人びた顔をするようになったのか。
37,"冗談でこんなことを言う奴ではない。どれだけの想いを抱えて、どれだけの勇気を振り絞って、どれだけの恥を捨てて、どれだけの覚悟を決めて、こんなことを言ったのかは計り知れない。
",冗談でこんなことを言う奴ではない。どれだけの想いを抱えて、どれだけの勇気を振り絞って、どれだけの恥を捨てて、どれだけの覚悟を決めて、こんなことを言ったのかは計り知れない。
38,"これから好きでもない男に抱かれなければならない奴に、酷な返しだとは分かっている。一度くらい抱いてやれよと、頭の片隅で思わないわけでもない。
",これから好きでもない男に抱かれなければならない奴に、酷な返しだとは分かっている。一度くらい抱いてやれよと、頭の片隅で思わないわけでもない。
39,"幼少期はよく高い位置で結んでいたが、最近はほとんど見ることはなかった。毛先を緩くまとめて横に流すということを覚えてからは、それが楽だと悟ったのかそればかりよく目にしたものだ。
",幼少期はよく高い位置で結んでいたが、最近はほとんど見ることはなかった。毛先を緩くまとめて横に流すということを覚えてからは、それが楽だと悟ったのかそればかりよく目にしたものだ。
40,"艶やかで、真っ直ぐで、汚れを知らなくて、まるで持ち主のようなこの髪を。
",艶やかで、真っ直ぐで、汚れを知らなくて、まるで持ち主のようなこの髪を。
41,"鏡の中の桂から視線を外し、ゆっくり、ゆっくり、髪を梳いた。まるで何か、祈りを捧げるように。
",鏡の中の桂から視線を外し、ゆっくり、ゆっくり、髪を梳いた。まるで何か、祈りを捧げるように。
42,"あれは白昼夢だったのかもしれない。最近ちょっと敗戦続きで精神的に参っていたし。今夜こそゆっくり休もう、そうしよう。
",あれは白昼夢だったのかもしれない。最近ちょっと敗戦続きで精神的に参っていたし。今夜こそゆっくり休もう、そうしよう。
43,"そんな呑気に構えてしまうほど、桂は何一つ変わった様子がなかったのだ。
",そんな呑気に構えてしまうほど、桂は何一つ変わった様子がなかったのだ。
44,"誰にも触れない、ということであれば、オッサンとの行為のせいで人間不信気味になっていると推測できるのだが、それはなく銀時に対してのみの拒否だった。
",誰にも触れない、ということであれば、オッサンとの行為のせいで人間不信気味になっていると推測できるのだが、それはなく銀時に対してのみの拒否だった。
45,"それはつまり、桂の想いを銀時が受け入れなかったことに起因しているということだ。
",それはつまり、桂の想いを銀時が受け入れなかったことに起因しているということだ。
46,"倉沢からの呼び出しはそれからも頻繁にあった。表立って本人が何か言うことはなかったが、隊士達の間でもまことしやかに疑惑が流れるようなっていった。
",倉沢からの呼び出しはそれからも頻繁にあった。表立って本人が何か言うことはなかったが、隊士達の間でもまことしやかに疑惑が流れるようなっていった。
47,"クソ真面目なリーダーが夜な夜な抜け出しているということもあったが、何より独特の艶のようなものを纏い始めたのが大きかった。
",クソ真面目なリーダーが夜な夜な抜け出しているということもあったが、何より独特の艶のようなものを纏い始めたのが大きかった。
48,"清廉潔白で傑物だった男に、どことなく隙が生まれたとでもいうのか。とにかく、男に抱かれているのだと俄かに匂わせる何かを纏っていたのだ。
",清廉潔白で傑物だった男に、どことなく隙が生まれたとでもいうのか。とにかく、男に抱かれているのだと俄かに匂わせる何かを纏っていたのだ。
49,"今日の天気予報は雨じゃなかったはず。結野アナ言っていたもん。……でもゲリラ豪雨にはご注意とも言っていた。気がする。はい、そうですね、傘持ってこなかった俺が悪いですね。
",今日の天気予報は雨じゃなかったはず。結野アナ言っていたもん。……でもゲリラ豪雨にはご注意とも言っていた。気がする。はい、そうですね、傘持ってこなかった俺が悪いですね。
50,"いつも人んちで遠慮もなしに茶を啜ってるくせして随分と偉そうだなオイ、と思ったが、それよりも先に引っかかったことがある。
",いつも人んちで遠慮もなしに茶を啜ってるくせして随分と偉そうだなオイ、と思ったが、それよりも先に引っかかったことがある。
51,"桂が持っていたのは一人用の傘だ。成人男性二人が無理に入れば嫌が応にも肩や腕が触れてしまう。
",桂が持っていたのは一人用の傘だ。成人男性二人が無理に入れば嫌が応にも肩や腕が触れてしまう。
52,"桂の中であの想いが、どう変化したのかも、もしくは消えていったのかも。銀時が知る由もない。
",桂の中であの想いが、どう変化したのかも、もしくは消えていったのかも。銀時が知る由もない。
53,"まだ何か言いたげにしていたが、有無を言わさぬ口調で押し進めて真っ直ぐ前を見る。
",まだ何か言いたげにしていたが、有無を言わさぬ口調で押し進めて真っ直ぐ前を見る。
54,"なんて馬鹿なことを考えていると、不意に桂が傘から出てしまった。
",なんて馬鹿なことを考えていると、不意に桂が傘から出てしまった。
55,"こっちの方がいい。豪華な屋敷よりも似合う、と言えば失礼に聞こえるかもしれないが、こちらの方が「らしい」し、銀時としても落ち着く。
",こっちの方がいい。豪華な屋敷よりも似合う、と言えば失礼に聞こえるかもしれないが、こちらの方が「らしい」し、銀時としても落ち着く。
56,"ふと、縁淵に無造作に置かれた鍵が目についた。先程桂が懐から取り出したものだった。
",ふと、縁淵に無造作に置かれた鍵が目についた。先程桂が懐から取り出したものだった。
57,"どうせあいつのことだから、気色の悪いストラップでもつけているのだろう。エリザベスなのかステファンなのか何なのか分からない得体の知れない何かのストラップを。
",どうせあいつのことだから、気色の悪いストラップでもつけているのだろう。エリザベスなのかステファンなのか何なのか分からない得体の知れない何かのストラップを。
58,"そんなつもりで目を凝らして見るが、いくら目を細めようとそんなものは見当たらず、代わりにシンプルな紐が括りつけられていただけだった。
",そんなつもりで目を凝らして見るが、いくら目を細めようとそんなものは見当たらず、代わりにシンプルな紐が括りつけられていただけだった。
59,"何故こんなものを……と首を傾げて、ふと見覚えがあることに気付いた。どんなものだったのかは曖昧だが、それをどうしたかだけはよく覚えている。
",何故こんなものを……と首を傾げて、ふと見覚えがあることに気付いた。どんなものだったのかは曖昧だが、それをどうしたかだけはよく覚えている。
60,"いや、もしかしたら思い違いかもしれない。似たような色の似たような装飾の紐を、勝手にあの時の紐だと思ってしまっただけだ。
",いや、もしかしたら思い違いかもしれない。似たような色の似たような装飾の紐を、勝手にあの時の紐だと思ってしまっただけだ。
61,"いやいやまさかね、と思い至った考えのせいで急激に上がった熱を冷ますように頭を振った。
",いやいやまさかね、と思い至った考えのせいで急激に上がった熱を冷ますように頭を振った。
62,"当てられたのがタオルだと分かっていたけれど、そんな乱暴な渡し方をされて黙っているわけにはいかないと振り向いて抗議を口にしかけて、止まった。
",当てられたのがタオルだと分かっていたけれど、そんな乱暴な渡し方をされて黙っているわけにはいかないと振り向いて抗議を口にしかけて、止まった。
63,"そこには、可哀相なくらい小刻みに震え、顔を真っ赤に染め上げた、桂がいた。
",そこには、可哀相なくらい小刻みに震え、顔を真っ赤に染め上げた、桂がいた。
64,"何も言えず、何も出来ず、ただ立ち尽くしていた銀時を桂が押しやるように玄関から追い出してしまった。雨はまだ止んでいない。頭を覆うタオルも、あっという間に意味を成さなくなってしまった。
",何も言えず、何も出来ず、ただ立ち尽くしていた銀時を桂が押しやるように玄関から追い出してしまった。雨はまだ止んでいない。頭を覆うタオルも、あっという間に意味を成さなくなってしまった。
65,"蘇るのは、今までに見たことのない表情を晒した幼馴染の姿。いつの間に、あんな表情をするようになったのか。この十年で。
",蘇るのは、今までに見たことのない表情を晒した幼馴染の姿。いつの間に、あんな表情をするようになったのか。この十年で。
66,"戦時中、敵が「桂を討ち取った！」と声高々に喚くのを何度も聞いたことがある。桂に限らず、四天王のメンツは大体白羽の矢が立っていたが。
",戦時中、敵が「桂を討ち取った！」と声高々に喚くのを何度も聞いたことがある。桂に限らず、四天王のメンツは大体白羽の矢が立っていたが。
67,"実際、その証拠を突きつけられた時のブチ切れっぷりといったら、みっともないことこの上なかった。
",実際、その証拠を突きつけられた時のブチ切れっぷりといったら、みっともないことこの上なかった。
68,"本当に失ってしまったのかもしれないと過った時、そんな覚悟こそがハッタリだったのだと痛いほど自覚した。
",本当に失ってしまったのかもしれないと過った時、そんな覚悟こそがハッタリだったのだと痛いほど自覚した。
69,"何を考えているかは分からない。けれど、ことさら強く抱き締めた。
",何を考えているかは分からない。けれど、ことさら強く抱き締めた。
70,"掴んだ腰は、想像していたよりもずっと細かった。ちょっとでも力加減を間違えてしまえば、本当にもげてしまうのではないかと冗談抜きで不安になる。
",掴んだ腰は、想像していたよりもずっと細かった。ちょっとでも力加減を間違えてしまえば、本当にもげてしまうのではないかと冗談抜きで不安になる。
71,"銀時を押しやろうと腕を伸ばしてくるが、傷が痛むようでまともに力が入っていない。この状態で手足をばたつかせれば反射で離してしまうかもしれないが、それはそれで銀時の怪我を悪化させてしまうのではと懸念しているようで、中途半端に身を捩るだけに留まっていた。
",銀時を押しやろうと腕を伸ばしてくるが、傷が痛むようでまともに力が入っていない。この状態で手足をばたつかせれば反射で離してしまうかもしれないが、それはそれで銀時の怪我を悪化させてしまうのではと懸念しているようで、中途半端に身を捩るだけに留まっていた。
72,"きっと、いつも通りの髪型だったのならば、指先に毛先が触れただろう。ざっくばらんに切られた髪が、奴の頬を撫でている。
",きっと、いつも通りの髪型だったのならば、指先に毛先が触れただろう。ざっくばらんに切られた髪が、奴の頬を撫でている。
73,"触れたらきっと最後だと、ずっと耐えてきたのだろう。まるでそれが、最後の砦だとでも言わんばかりに。
",触れたらきっと最後だと、ずっと耐えてきたのだろう。まるでそれが、最後の砦だとでも言わんばかりに。
74,"俺の気持ちが分かっているのなら、と消え入りそうな声で懇願する桂を離すわけがないだろう。
",俺の気持ちが分かっているのなら、と消え入りそうな声で懇願する桂を離すわけがないだろう。
75,"これから何十年もかけて伝えていくから。今更遅いかもしれないけれど、こっちだって今更気付いたんだから仕方ない。
",これから何十年もかけて伝えていくから。今更遅いかもしれないけれど、こっちだって今更気付いたんだから仕方ない。
77,"自分１人ではどうしようもならないのが、借金返済・多重債務の問題です。
",自分１人ではどうしようもならないのが、借金返済・多重債務の問題です。
78,"潟上市の人も、まずインターネットの無料相談で、弁護士・司法書士に相談してみませんか？
",潟上市の人も、まずインターネットの無料相談で、弁護士・司法書士に相談してみませんか？
79,"いきなり事務所に出かけて直接相談するよりも、ネットの無料相談の方が、落ち着いて相談できるかもしれません。
",いきなり事務所に出かけて直接相談するよりも、ネットの無料相談の方が、落ち着いて相談できるかもしれません。
80,"もちろん、潟上市に対応している法律事務所・法務事務所をここでは紹介しています。
",もちろん、潟上市に対応している法律事務所・法務事務所をここでは紹介しています。
81,"１人で悩むより、まず弁護士・司法書士に相談することが、借金問題解決への第一歩です。
",１人で悩むより、まず弁護士・司法書士に相談することが、借金問題解決への第一歩です。
82,"好き全国対応している法律事務所・法務事務所のサービスなので、潟上市に住んでいる人も安心して利用できます。
",好き全国対応している法律事務所・法務事務所のサービスなので、潟上市に住んでいる人も安心して利用できます。
83,"潟上市には他にも複数の弁護士や司法書士の事務所があります。参考にしてください。
",潟上市には他にも複数の弁護士や司法書士の事務所があります。参考にしてください。
84,"潟上市にある地元の法律事務所や法務事務所の門をたたき、直接相談するのもよいと思います。
",潟上市にある地元の法律事務所や法務事務所の門をたたき、直接相談するのもよいと思います。
85,"親や親戚などに頼れるのならばまだましですが、もう結婚していて、配偶者には秘密にしておきたい、という状態なら、いっそう困ることでしょう。
",親や親戚などに頼れるのならばまだましですが、もう結婚していて、配偶者には秘密にしておきたい、という状態なら、いっそう困ることでしょう。
86,"お金を借りたのは自分の責任なので仕方ありませんが、額が多くて高い利子となると、完済するのは大変なものでしょう。
",お金を借りたのは自分の責任なので仕方ありませんが、額が多くて高い利子となると、完済するのは大変なものでしょう。
87,"どのようにして返済すればいいのか、もはやなにも思い付かないのなら、法律事務所や法務事務所に相談すべきです。
",どのようにして返済すればいいのか、もはやなにも思い付かないのなら、法律事務所や法務事務所に相談すべきです。
88,"長期計画での返済になるかもしれませんし、過払い金を請求して返済金額が減額するのかもしれません。
",長期計画での返済になるかもしれませんし、過払い金を請求して返済金額が減額するのかもしれません。
89,"潟上市で任意整理や債務整理について、弁護士・司法書士へ無料相談してみては？365日・24時間受付可能な相談事務所を紹介しています。
",潟上市で任意整理や債務整理について、弁護士・司法書士へ無料相談してみては？365日・24時間受付可能な相談事務所を紹介しています。
91,"私たちが喪ったのは、どんな「世界」だったのか？〔前篇〕　東京電力・福島第１原発事故（第183信）
",私たちが喪ったのは、どんな「世界」だったのか？〔前篇〕 東京電力・福島第１原発事故（第183信）
92,"何年か前、私が食事をする場所に困り抜いていたとき、インターネット検索を重ねに重ねて、ようやく見つけることができた——。
",何年か前、私が食事をする場所に困り抜いていたとき、インターネット検索を重ねに重ねて、ようやく見つけることができた——。
93,"この《Ｍ》は、素材・調理・接客・施設のいずれに関しても、現在、国内最高であるばかりでなく……世界的に見ても、ロンドン・ピカデリーサーカスの外れの《Ｔ》、同じくチョーク・ファーム地区の閑静な高級住宅街に位置する《Ｍ》をも凌駕する——すなわち、私見では“世界最高の自然食レストラン”ということになる。
",この《Ｍ》は、素材・調理・接客・施設のいずれに関しても、現在、国内最高であるばかりでなく……世界的に見ても、ロンドン・ピカデリーサーカスの外れの《Ｔ》、同じくチョーク・ファーム地区の閑静な高級住宅街に位置する《Ｍ》をも凌駕する——すなわち、私見では“世界最高の自然食レストラン”ということになる。
94,"これこそが、いま——単に自然食レストランばかりではない、本来、飲食店のあるべき姿ではないか。
",これこそが、いま——単に自然食レストランばかりではない、本来、飲食店のあるべき姿ではないか。
95,"今回、12月に赴いた際は、食事中、スタッフが入れ替わり挨拶に来てくれたばかりか、帰り際には、店長を含む４名が外に出て、寒風のなか、いつまでも私の運転する車を見送ってくれた。
",今回、12月に赴いた際は、食事中、スタッフが入れ替わり挨拶に来てくれたばかりか、帰り際には、店長を含む４名が外に出て、寒風のなか、いつまでも私の運転する車を見送ってくれた。
96,"21世紀初め、東京電力・福島第１原発事故下のこの国に生き合わせた彼らを——。　
",21世紀初め、東京電力・福島第１原発事故下のこの国に生き合わせた彼らを——。
97,"「世界」が、これまでの自分の祖先たちと同様には委譲されるものではないのだという——事と次第によっては、ほどなく滅びるものかもしれないという――。
",「世界」が、これまでの自分の祖先たちと同様には委譲されるものではないのだという——事と次第によっては、ほどなく滅びるものかもしれないという――。
98,"これが、私の生まれ育った町——87歳の父親と80歳の母親とが、生涯を過ごしてきた町なのだ。
",これが、私の生まれ育った町——87歳の父親と80歳の母親とが、生涯を過ごしてきた町なのだ。
99,"だが同時に、その世界は、いまこの地上に存在する私たちの誰もが、もはやその修復され蘇生した姿を見ることのない世界かもしれないのだ。
",だが同時に、その世界は、いまこの地上に存在する私たちの誰もが、もはやその修復され蘇生した姿を見ることのない世界かもしれないのだ。
100,"世界とは、つねに極限的な細部の集積から成り立っているのだから。
",世界とは、つねに極限的な細部の集積から成り立っているのだから。
101,"……いま、私がこれを書き綴っているのは東京ではない。事情があって、時折り来訪する中央高地――長野県北部の田舎町である。
",……いま、私がこれを書き綴っているのは東京ではない。事情があって、時折り来訪する中央高地――長野県北部の田舎町である。
102,"（だが、本稿をアップロードするのは、帰京してからのこととなることだろう）
",（だが、本稿をアップロードするのは、帰京してからのこととなることだろう）
103,"私の幼少期は、自分自身が周囲から受けた直截の経験から「世界は根本的に間違っており、人生は苦痛と悲しみに満ち、神などむろん存在するはずもなく、人間は悪に支配されている」という見解を大原則として生き抜いてきたものだったのだが——その少なからぬ部分は、この田舎町に生き合わせた、それも同年代を中心とする他者との関係のなかで形成されてきたように思う。
",私の幼少期は、自分自身が周囲から受けた直截の経験から「世界は根本的に間違っており、人生は苦痛と悲しみに満ち、神などむろん存在するはずもなく、人間は悪に支配されている」という見解を大原則として生き抜いてきたものだったのだが——その少なからぬ部分は、この田舎町に生き合わせた、それも同年代を中心とする他者との関係のなかで形成されてきたように思う。
104,"十代の終わりにこの町を離れてから現在にいたるまで、とりあえず東京に生活の拠点は持ってきたものの、年に何度かは「帰郷」していたし、私の健康状態がとりわけ芳しくなかった二十代後半には、断続的に数箇月をこの「郷里」で過ごしたような年もある。
",十代の終わりにこの町を離れてから現在にいたるまで、とりあえず東京に生活の拠点は持ってきたものの、年に何度かは「帰郷」していたし、私の健康状態がとりわけ芳しくなかった二十代後半には、断続的に数箇月をこの「郷里」で過ごしたような年もある。
105,"それが、30歳あたりを過ぎて以降……ほぼ完全に東京での生活中心となり、３年、４年とまったく戻らないまま、むしろ国外へと赴くことが増えてきたような時期が続いたにもかかわらず——およそ５年ほど前から、ほぼ毎月、もしくは隔月で、かの地との往復を繰り返すようになった理由の巨きな１つは、ともにそれ以前から身体機能にいささかの支障があった老親二人が、数度、その頃から相次いで小さからぬ手術を受けたりしたことがあった。
",それが、30歳あたりを過ぎて以降……ほぼ完全に東京での生活中心となり、３年、４年とまったく戻らないまま、むしろ国外へと赴くことが増えてきたような時期が続いたにもかかわらず——およそ５年ほど前から、ほぼ毎月、もしくは隔月で、かの地との往復を繰り返すようになった理由の巨きな１つは、ともにそれ以前から身体機能にいささかの支障があった老親二人が、数度、その頃から相次いで小さからぬ手術を受けたりしたことがあった。
106,"今年で齢87になった父親と、80歳の母親は、生涯、この町で暮らしてきた。
",今年で齢87になった父親と、80歳の母親は、生涯、この町で暮らしてきた。
107,"父親に言わせれば「俺たちには死ね、と言っているのと同じ」ということだ。
",父親に言わせれば「俺たちには死ね、と言っているのと同じ」ということだ。
108,"＊ 携帯電話は、ようやく最近、簡単なものを持たせるようにしたが、それでも必ずしも使いこなせてはいない。
",＊ 携帯電話は、ようやく最近、簡単なものを持たせるようにしたが、それでも必ずしも使いこなせてはいない。
109,"これまで、私もそこそこ、内外のクラシック=ヴィンテージ・ホテルを泊まり歩いた経験がないわけではなく、なんの間違いか、1冊、“ホテル紀行”の著書（＊＊）まで持っている人間であるが、結局、これまでの人生で最も世話になっているホテルは、この「郷里」の町の小さなビジネス・ホテルにほかならない。
",これまで、私もそこそこ、内外のクラシック=ヴィンテージ・ホテルを泊まり歩いた経験がないわけではなく、なんの間違いか、1冊、“ホテル紀行”の著書（＊＊）まで持っている人間であるが、結局、これまでの人生で最も世話になっているホテルは、この「郷里」の町の小さなビジネス・ホテルにほかならない。
110,"当の「実家」に泊まることの困難な事情があることは、私と同様の環境に身を置く方には類推されよう。
",当の「実家」に泊まることの困難な事情があることは、私と同様の環境に身を置く方には類推されよう。
111,"以下は、私が作成し、『脱原発世界会議 2012 YOKOHAMA』プログラムに掲載される、私たちのメッセージです。
",以下は、私が作成し、『脱原発世界会議 2012 YOKOHAMA』プログラムに掲載される、私たちのメッセージです。
112,"放射能は、最も弱い立場の子どもたちを最もつらい目に遭わせます。
",放射能は、最も弱い立場の子どもたちを最もつらい目に遭わせます。
113,"その思いを込め、今回、私たちはミニ・ステージで、この絵本を朗読します。
",その思いを込め、今回、私たちはミニ・ステージで、この絵本を朗読します。
114,"また、なんらかの形でご協力いただける方は、私（izm@jca.apc.org）まで、御連絡いただけますと幸いです。
",また、なんらかの形でご協力いただける方は、私（izm@jca.apc.org）まで、御連絡いただけますと幸いです。
115,"年の終わりに形ばかり間に合わせるように、日本政府と株式会社東京電力とは福島第１原発の４基の原子炉の「廃炉に向けた工程表」なるものを発表した。
",年の終わりに形ばかり間に合わせるように、日本政府と株式会社東京電力とは福島第１原発の４基の原子炉の「廃炉に向けた工程表」なるものを発表した。
116,"これだけのことをしでかして、数千万の人びとの人生を完全に狂わせ、またその生命・健康に深甚な打撃を与えておきながら、最初から最後まで、他人事のように平然と「最長40年」と口にする、その冷え冷えと無機質な意識——。
",これだけのことをしでかして、数千万の人びとの人生を完全に狂わせ、またその生命・健康に深甚な打撃を与えておきながら、最初から最後まで、他人事のように平然と「最長40年」と口にする、その冷え冷えと無機質な意識——。
